repo,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
Snailclimb/JavaGuide,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
krahets/hello-algo,215,1.874419,2.000000,1.512579,1.000000,1.000000,0.000000,4.706977,1.000000,10.457868
GrowingGit/GitHub-Chinese-Top-Charts,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
iluwatar/java-design-patterns,1990,3.360302,3.000000,2.606279,1.195980,1.000000,0.529458,1.827638,0.000000,6.352471
macrozheng/mall,760,3.864474,3.000000,4.784285,1.239474,1.000000,0.439211,1110.803947,13.000000,8155.555246
spring-projects/spring-boot,13946,5.484153,4.000000,6.400458,1.285602,1.000000,0.764366,12.937617,0.000000,108.319885
doocs/advanced-java,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
MisterBooo/LeetCodeAnimation,4,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
elastic/elasticsearch,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Stirling-Tools/Stirling-PDF,1277,7.710258,5.000000,8.237406,1.202036,1.000000,1.398015,33.703994,0.000000,327.821631
